Year,Period(0),State ANSI,Value
1972,YEAR - OCT FORECAST,19,111
1972,YEAR - SEP FORECAST,19,107
1971,YEAR,17,106
1971,YEAR,18,101
1971,YEAR,19,102
1971,YEAR - AUG FORECAST,19,97
1971,YEAR - NOV FORECAST,19,103
1971,YEAR - OCT FORECAST,19,99
1971,YEAR - SEP FORECAST,19,95
1970,YEAR,17,74
1970,YEAR,18,76
1970,YEAR,19,86
1970,YEAR - AUG FORECAST,19,100
1970,YEAR - NOV FORECAST,19,87
1970,YEAR - OCT FORECAST,19,90
1970,YEAR - SEP FORECAST,19,95
1969,YEAR,17,102
1969,YEAR,18,100
1969,YEAR,19,99
1969,YEAR - AUG FORECAST,19,84
1969,YEAR - NOV FORECAST,19,94
1969,YEAR - OCT FORECAST,19,89
1969,YEAR - SEP FORECAST,19,86
1968,YEAR,17,90
1968,YEAR,18,88
1968,YEAR,19,93
1968,YEAR - AUG FORECAST,19,95
1968,YEAR - NOV FORECAST,19,93
1968,YEAR - OCT FORECAST,19,95
1968,YEAR - SEP FORECAST,19,95
1967,YEAR,17,104
1967,YEAR,18,86
1967,YEAR,19,88.5
1967,YEAR - AUG FORECAST,19,85
1967,YEAR - NOV FORECAST,19,83
1967,YEAR - OCT FORECAST,19,83
1967,YEAR - SEP FORECAST,19,85
1966,YEAR,17,82
1966,YEAR,18,80
1966,YEAR,19,89
1966,YEAR - AUG FORECAST,19,83
1966,YEAR - NOV FORECAST,19,88
1966,YEAR - OCT FORECAST,19,87
1966,YEAR - SEP FORECAST,19,86
1965,YEAR,17,94
1965,YEAR,18,94
1965,YEAR,19,82
1965,YEAR - AUG FORECAST,19,83
1965,YEAR - NOV FORECAST,19,80
1965,YEAR - OCT FORECAST,19,81
1965,YEAR - SEP FORECAST,19,81
1964,YEAR,17,80
1964,YEAR,18,72
1964,YEAR,19,77.5
1964,YEAR - AUG FORECAST,19,81
1964,YEAR - NOV FORECAST,19,76
1964,YEAR - OCT FORECAST,19,76
1964,YEAR - SEP FORECAST,19,77
1963,YEAR,17,87
1963,YEAR,18,87
1963,YEAR,19,80
1963,YEAR - AUG FORECAST,19,77
1963,YEAR - NOV FORECAST,19,79
1963,YEAR - OCT FORECAST,19,79
1963,YEAR - SEP FORECAST,19,77
1962,YEAR,17,85
1962,YEAR,18,82
1962,YEAR,19,77
1961,YEAR,17,79
1961,YEAR,18,74
1961,YEAR,19,75.5
1960,YEAR,17,68
1960,YEAR,18,68
1960,YEAR,19,63.5
1959,YEAR,17,67
1959,YEAR,18,62.5
1959,YEAR,19,65
1958,YEAR,17,69
1958,YEAR,18,63
1958,YEAR,19,66
1957,YEAR,17,64
1957,YEAR,18,59
1957,YEAR,19,62
1956,YEAR,17,68
1956,YEAR,18,62
1956,YEAR,19,53.5
1955,YEAR,17,56
1955,YEAR,18,56
1955,YEAR,19,48.5
1954,YEAR,17,50.5
1954,YEAR,18,55.5
1954,YEAR,19,54.5
1953,YEAR,17,54
1953,YEAR,18,51.5
1953,YEAR,19,53
1952,YEAR,17,58
1952,YEAR,18,50
1952,YEAR,19,62.5
1951,YEAR,17,55
1951,YEAR,18,53
1951,YEAR,19,43.5
1950,YEAR,17,51
1950,YEAR,18,48.5
1950,YEAR,19,48.5
1949,YEAR,17,54
1949,YEAR,18,50
1949,YEAR,19,47
1948,YEAR,17,61
1948,YEAR,18,57
